team1,team2,winner,match_date,ground
England,South Africa,South Africa,2000-02-04,South Africa
South Africa,Zimbabwe,South Africa,2000-02-06,South Africa
Sri Lanka,Pakistan,Sri Lanka,2000-02-13,Pakistan
South Africa,England,South Africa,2000-02-13,South Africa
Sri Lanka,Pakistan,Sri Lanka,2000-02-16,Pakistan
Zimbabwe,England,England,2000-02-16,Zimbabwe
Zimbabwe,England,England,2000-02-18,Zimbabwe
New Zealand,Australia,Australia,2000-02-19,New Zealand
Sri Lanka,Pakistan,Sri Lanka,2000-02-19,Pakistan
England,Zimbabwe,England,2000-02-20,Zimbabwe
Australia,New Zealand,Australia,2000-02-23,New Zealand
Australia,New Zealand,Australia,2000-02-26,New Zealand
New Zealand,Australia,Australia,2000-03-01,New Zealand
Australia,New Zealand,New Zealand,2000-03-03,New Zealand
South Africa,India,India,2000-03-09,India
South Africa,India,India,2000-03-12,India
India,South Africa,South Africa,2000-03-15,India
South Africa,India,India,2000-03-17,India
South Africa,India,South Africa,2000-03-19,India
India,South Africa,South Africa,2000-03-22,United Arab Emirates
Pakistan,India,India,2000-03-23,United Arab Emirates
Pakistan,South Africa,South Africa,2000-03-24,United Arab Emirates
Pakistan,India,Pakistan,2000-03-26,United Arab Emirates
India,South Africa,South Africa,2000-03-27,United Arab Emirates
Pakistan,South Africa,Pakistan,2000-03-28,United Arab Emirates
Pakistan,South Africa,Pakistan,2000-03-31,United Arab Emirates
West Indies,Zimbabwe,West Indies,2000-04-01,West Indies
West Indies,Zimbabwe,West Indies,2000-04-02,West Indies
Zimbabwe,Pakistan,Pakistan,2000-04-05,West Indies
Australia,South Africa,South Africa,2000-04-12,South Africa
West Indies,Pakistan,West Indies,2000-04-12,West Indies
South Africa,Australia,Australia,2000-04-14,South Africa
Zimbabwe,Pakistan,Pakistan,2000-04-15,Grenada
Australia,South Africa,South Africa,2000-04-16,South Africa
West Indies,Pakistan,West Indies,2000-04-16,Grenada
Pakistan,West Indies,Pakistan,2000-04-19,West Indies
West Indies,Pakistan,West Indies,2000-04-22,West Indies
West Indies,Pakistan,Pakistan,2000-04-23,West Indies
Bangladesh,Sri Lanka,Sri Lanka,2000-05-29,Bangladesh
Sri Lanka,India,Sri Lanka,2000-06-01,Bangladesh
Pakistan,Bangladesh,Pakistan,2000-06-02,Bangladesh
Pakistan,India,Pakistan,2000-06-03,Bangladesh
Sri Lanka,Pakistan,Pakistan,2000-06-05,Bangladesh
Pakistan,Sri Lanka,Pakistan,2000-06-07,Bangladesh
Pakistan,Sri Lanka,Sri Lanka,2000-07-05,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,2000-07-06,Sri Lanka
West Indies,Zimbabwe,Zimbabwe,2000-07-06,England
South Africa,Pakistan,South Africa,2000-07-08,Sri Lanka
England,Zimbabwe,Zimbabwe,2000-07-08,England
Pakistan,Sri Lanka,Sri Lanka,2000-07-09,Sri Lanka
South Africa,Sri Lanka,Sri Lanka,2000-07-11,Sri Lanka
Zimbabwe,West Indies,Zimbabwe,2000-07-11,England
Pakistan,South Africa,South Africa,2000-07-12,Sri Lanka
Zimbabwe,England,England,2000-07-13,England
Sri Lanka,South Africa,Sri Lanka,2000-07-14,Sri Lanka
West Indies,England,England,2000-07-15,England
West Indies,Zimbabwe,Zimbabwe,2000-07-16,England
England,Zimbabwe,England,2000-07-18,England
West Indies,England,West Indies,2000-07-20,England
Zimbabwe,England,England,2000-07-22,England
Australia,South Africa,Australia,2000-08-16,Australia
South Africa,Australia,Match tied,2000-08-18,Australia
South Africa,Australia,South Africa,2000-08-20,Australia
Pakistan,New Zealand,Pakistan,2000-08-20,Singapore
Pakistan,South Africa,Pakistan,2000-08-23,Singapore
New Zealand,South Africa,South Africa,2000-08-25,Singapore
South Africa,Pakistan,South Africa,2000-08-27,Singapore
Zimbabwe,New Zealand,New Zealand,2000-09-27,Zimbabwe
Zimbabwe,New Zealand,Zimbabwe,2000-09-30,Zimbabwe
New Zealand,Zimbabwe,Zimbabwe,2000-10-01,Zimbabwe
Kenya,India,India,2000-10-03,Kenya
Sri Lanka,West Indies,Sri Lanka,2000-10-04,Kenya
Bangladesh,England,England,2000-10-05,Kenya
India,Australia,India,2000-10-07,Kenya
Sri Lanka,Pakistan,Pakistan,2000-10-08,Kenya
New Zealand,Zimbabwe,New Zealand,2000-10-09,Kenya
England,South Africa,South Africa,2000-10-10,Kenya
Pakistan,New Zealand,New Zealand,2000-10-11,Kenya
India,South Africa,India,2000-10-13,Kenya
India,New Zealand,New Zealand,2000-10-15,Kenya
India,Sri Lanka,Sri Lanka,2000-10-20,United Arab Emirates
Zimbabwe,Sri Lanka,Sri Lanka,2000-10-21,United Arab Emirates
New Zealand,South Africa,South Africa,2000-10-22,South Africa
India,Zimbabwe,India,2000-10-22,United Arab Emirates
Pakistan,England,England,2000-10-24,Pakistan
Sri Lanka,Zimbabwe,Sri Lanka,2000-10-25,United Arab Emirates
South Africa,New Zealand,South Africa,2000-10-25,South Africa
Zimbabwe,India,India,2000-10-26,United Arab Emirates
England,Pakistan,Pakistan,2000-10-27,Pakistan
Sri Lanka,India,Sri Lanka,2000-10-27,United Arab Emirates
New Zealand,South Africa,South Africa,2000-10-28,South Africa
Sri Lanka,India,Sri Lanka,2000-10-29,United Arab Emirates
England,Pakistan,Pakistan,2000-10-30,Pakistan
New Zealand,South Africa,South Africa,2000-11-01,South Africa
New Zealand,South Africa,South Africa,2000-11-04,South Africa
Zimbabwe,India,India,2000-12-02,India
India,Zimbabwe,India,2000-12-05,India
India,Zimbabwe,Zimbabwe,2000-12-08,India
Zimbabwe,India,India,2000-12-11,India
India,Zimbabwe,India,2000-12-14,India
Sri Lanka,South Africa,South Africa,2000-12-15,South Africa
South Africa,Sri Lanka,South Africa,2000-12-17,South Africa
Zimbabwe,New Zealand,Zimbabwe,2001-01-02,New Zealand
Zimbabwe,New Zealand,New Zealand,2001-01-04,New Zealand
New Zealand,Zimbabwe,Zimbabwe,2001-01-07,New Zealand
Sri Lanka,South Africa,South Africa,2001-01-09,South Africa
Australia,West Indies,Australia,2001-01-11,Australia
South Africa,Sri Lanka,South Africa,2001-01-11,South Africa
Zimbabwe,West Indies,West Indies,2001-01-13,Australia
West Indies,Australia,Australia,2001-01-14,Australia
Sri Lanka,South Africa,South Africa,2001-01-14,South Africa
Australia,West Indies,Australia,2001-01-17,Australia
Sri Lanka,South Africa,Sri Lanka,2001-01-17,South Africa
Zimbabwe,Australia,Australia,2001-01-21,Australia
Zimbabwe,West Indies,Zimbabwe,2001-01-23,Australia
West Indies,Zimbabwe,West Indies,2001-01-25,Australia
West Indies,Australia,Australia,2001-01-26,Australia
Australia,Zimbabwe,Australia,2001-01-28,Australia
Zimbabwe,Australia,Australia,2001-01-30,Australia
Sri Lanka,New Zealand,Sri Lanka,2001-01-31,New Zealand
West Indies,Zimbabwe,West Indies,2001-02-02,Australia
New Zealand,Sri Lanka,Sri Lanka,2001-02-03,New Zealand
Australia,Zimbabwe,Australia,2001-02-04,Australia
New Zealand,Sri Lanka,Sri Lanka,2001-02-06,New Zealand
Australia,West Indies,Australia,2001-02-07,Australia
New Zealand,Sri Lanka,Sri Lanka,2001-02-08,New Zealand
Australia,West Indies,Australia,2001-02-09,Australia
New Zealand,Sri Lanka,New Zealand,2001-02-11,New Zealand
Pakistan,New Zealand,New Zealand,2001-02-20,New Zealand
Pakistan,New Zealand,Pakistan,2001-02-22,New Zealand
New Zealand,Pakistan,New Zealand,2001-02-25,New Zealand
Pakistan,New Zealand,New Zealand,2001-02-28,New Zealand
England,Sri Lanka,Sri Lanka,2001-03-23,Sri Lanka
Sri Lanka,England,Sri Lanka,2001-03-25,Sri Lanka
India,Australia,India,2001-03-25,India
England,Sri Lanka,Sri Lanka,2001-03-27,Sri Lanka
India,Australia,Australia,2001-03-28,India
India,Australia,India,2001-03-31,India
Australia,India,Australia,2001-04-03,India
India,Australia,Australia,2001-04-06,India
Bangladesh,Zimbabwe,Zimbabwe,2001-04-07,Zimbabwe
Zimbabwe,Bangladesh,Zimbabwe,2001-04-08,Zimbabwe
Pakistan,Sri Lanka,Pakistan,2001-04-08,United Arab Emirates
Sri Lanka,New Zealand,Sri Lanka,2001-04-10,United Arab Emirates
Zimbabwe,Bangladesh,Zimbabwe,2001-04-11,Zimbabwe
New Zealand,Pakistan,Pakistan,2001-04-12,United Arab Emirates
Pakistan,Sri Lanka,Pakistan,2001-04-13,United Arab Emirates
New Zealand,Pakistan,Pakistan,2001-04-15,United Arab Emirates
New Zealand,Sri Lanka,New Zealand,2001-04-17,United Arab Emirates
Sri Lanka,Pakistan,Sri Lanka,2001-04-20,United Arab Emirates
South Africa,West Indies,West Indies,2001-04-28,West Indies
West Indies,South Africa,South Africa,2001-05-02,West Indies
South Africa,West Indies,South Africa,2001-05-05,Grenada
West Indies,South Africa,South Africa,2001-05-06,Grenada
West Indies,South Africa,South Africa,2001-05-09,West Indies
South Africa,West Indies,South Africa,2001-05-12,West Indies
South Africa,West Indies,West Indies,2001-05-16,West Indies
Pakistan,England,Pakistan,2001-06-07,England
Pakistan,Australia,Australia,2001-06-09,Wales
England,Australia,Australia,2001-06-10,England
Pakistan,England,Pakistan,2001-06-12,England
Australia,England,Australia,2001-06-14,England
England,Pakistan,Pakistan awarded the match (opposition conceded),2001-06-17,England
Pakistan,Australia,Pakistan,2001-06-19,England
England,Australia,Australia,2001-06-21,England
West Indies,Zimbabwe,West Indies,2001-06-23,Zimbabwe
Pakistan,Australia,Australia,2001-06-23,England
Zimbabwe,India,India,2001-06-24,Zimbabwe
Zimbabwe,India,India,2001-06-27,Zimbabwe
West Indies,India,India,2001-06-30,Zimbabwe
Zimbabwe,West Indies,West Indies,2001-07-01,Zimbabwe
West Indies,India,India,2001-07-04,Zimbabwe
West Indies,India,West Indies,2001-07-07,Zimbabwe
Sri Lanka,New Zealand,Sri Lanka,2001-07-18,Sri Lanka
New Zealand,India,New Zealand,2001-07-20,Sri Lanka
Sri Lanka,India,Sri Lanka,2001-07-22,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,2001-07-25,Sri Lanka
New Zealand,India,New Zealand,2001-07-26,Sri Lanka
Sri Lanka,India,India,2001-07-28,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,2001-07-31,Sri Lanka
India,Sri Lanka,India,2001-08-01,Sri Lanka
New Zealand,India,India,2001-08-02,Sri Lanka
Sri Lanka,India,Sri Lanka,2001-08-05,Sri Lanka
West Indies,Kenya,West Indies,2001-08-15,Kenya
Kenya,West Indies,West Indies,2001-08-18,Kenya
Kenya,West Indies,West Indies,2001-08-19,Kenya
South Africa,Zimbabwe,South Africa,2001-09-23,Zimbabwe
South Africa,Zimbabwe,South Africa,2001-09-29,Zimbabwe
Zimbabwe,South Africa,South Africa,2001-09-30,Zimbabwe
Zimbabwe,England,England,2001-10-03,Zimbabwe
India,South Africa,South Africa,2001-10-05,South Africa
Zimbabwe,England,England,2001-10-06,Zimbabwe
Zimbabwe,England,England,2001-10-07,Zimbabwe
Kenya,South Africa,South Africa,2001-10-07,South Africa
England,Zimbabwe,England,2001-10-10,Zimbabwe
India,South Africa,India,2001-10-10,South Africa
Kenya,India,India,2001-10-12,South Africa
Zimbabwe,England,England,2001-10-13,Zimbabwe
Kenya,South Africa,South Africa,2001-10-14,South Africa
Kenya,India,Kenya,2001-10-17,South Africa
South Africa,India,South Africa,2001-10-19,South Africa
South Africa,Kenya,South Africa,2001-10-22,South Africa
India,Kenya,India,2001-10-24,South Africa
Sri Lanka,Zimbabwe,Sri Lanka,2001-10-26,United Arab Emirates
India,South Africa,South Africa,2001-10-26,South Africa
Pakistan,Sri Lanka,Sri Lanka,2001-10-27,United Arab Emirates
Pakistan,Zimbabwe,Pakistan,2001-10-28,United Arab Emirates
Sri Lanka,Zimbabwe,Sri Lanka,2001-10-30,United Arab Emirates
Pakistan,Zimbabwe,Pakistan,2001-10-31,United Arab Emirates
Sri Lanka,Pakistan,Pakistan,2001-11-02,United Arab Emirates
Sri Lanka,Pakistan,Pakistan,2001-11-04,United Arab Emirates
Bangladesh,Zimbabwe,Zimbabwe,2001-11-23,Bangladesh
Zimbabwe,Bangladesh,Zimbabwe,2001-11-25,Bangladesh
Bangladesh,Zimbabwe,Zimbabwe,2001-11-26,Bangladesh
Zimbabwe,Sri Lanka,Sri Lanka,2001-12-08,Sri Lanka
West Indies,Zimbabwe,Zimbabwe,2001-12-09,Sri Lanka
West Indies,Sri Lanka,West Indies,2001-12-11,Sri Lanka
Sri Lanka,Zimbabwe,Sri Lanka,2001-12-12,Sri Lanka
West Indies,Sri Lanka,Sri Lanka,2001-12-15,Sri Lanka
Zimbabwe,West Indies,West Indies,2001-12-16,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,2001-12-19,Sri Lanka
New Zealand,Australia,New Zealand,2002-01-11,Australia
Australia,South Africa,South Africa,2002-01-13,Australia
South Africa,New Zealand,South Africa,2002-01-15,Australia
New Zealand,Australia,New Zealand,2002-01-17,Australia
South Africa,New Zealand,New Zealand,2002-01-19,Australia
India,England,India,2002-01-19,India
Australia,South Africa,Australia,2002-01-20,Australia
Pakistan,Bangladesh,Pakistan,2002-01-22,Bangladesh
South Africa,Australia,Australia,2002-01-22,Australia
England,India,England,2002-01-22,India
Pakistan,Bangladesh,Pakistan,2002-01-24,Bangladesh
Bangladesh,Pakistan,Pakistan,2002-01-25,Bangladesh
England,India,India,2002-01-25,India
New Zealand,Australia,New Zealand,2002-01-26,Australia
South Africa,New Zealand,South Africa,2002-01-27,Australia
England,India,India,2002-01-28,India
New Zealand,Australia,Australia,2002-01-29,Australia
England,India,England,2002-01-31,India
South Africa,New Zealand,South Africa,2002-02-01,Australia
Australia,South Africa,Australia,2002-02-03,Australia
England,India,England,2002-02-03,India
New Zealand,South Africa,South Africa,2002-02-06,Australia
New Zealand,South Africa,South Africa,2002-02-08,Australia
England,New Zealand,New Zealand,2002-02-13,New Zealand
West Indies,Pakistan,Pakistan,2002-02-14,United Arab Emirates
Pakistan,West Indies,Pakistan,2002-02-15,United Arab Emirates
New Zealand,England,New Zealand,2002-02-16,New Zealand
West Indies,Pakistan,West Indies,2002-02-17,United Arab Emirates
England,New Zealand,England,2002-02-20,New Zealand
England,New Zealand,England,2002-02-23,New Zealand
England,New Zealand,New Zealand,2002-02-26,New Zealand
India,Zimbabwe,Zimbabwe,2002-03-07,India
India,Zimbabwe,India,2002-03-10,India
India,Zimbabwe,Zimbabwe,2002-03-13,India
Zimbabwe,India,India,2002-03-16,India
India,Zimbabwe,India,2002-03-19,India
Australia,South Africa,Australia,2002-03-22,South Africa
Australia,South Africa,Australia,2002-03-24,South Africa
South Africa,Australia,Match tied,2002-03-27,South Africa
Australia,South Africa,Australia,2002-03-30,South Africa
South Africa,Australia,Australia,2002-04-03,South Africa
South Africa,Australia,Australia,2002-04-06,South Africa
Sri Lanka,Pakistan,Sri Lanka,2002-04-08,United Arab Emirates
New Zealand,Sri Lanka,New Zealand,2002-04-09,United Arab Emirates
South Africa,Australia,South Africa,2002-04-09,South Africa
Pakistan,New Zealand,Pakistan,2002-04-11,United Arab Emirates
Sri Lanka,Pakistan,Sri Lanka,2002-04-12,United Arab Emirates
Sri Lanka,New Zealand,Sri Lanka,2002-04-14,United Arab Emirates
New Zealand,Pakistan,Pakistan,2002-04-15,United Arab Emirates
Pakistan,Sri Lanka,Pakistan,2002-04-17,United Arab Emirates
Pakistan,New Zealand,Pakistan,2002-04-21,Pakistan
New Zealand,Pakistan,Pakistan,2002-04-24,Pakistan
Pakistan,New Zealand,Pakistan,2002-04-27,Pakistan
West Indies,India,India,2002-05-29,West Indies
India,West Indies,West Indies,2002-06-01,West Indies
India,West Indies,India,2002-06-02,West Indies
New Zealand,West Indies,West Indies,2002-06-08,West Indies
New Zealand,West Indies,West Indies,2002-06-09,West Indies
Pakistan,Australia,Australia,2002-06-12,Australia
New Zealand,West Indies,New Zealand,2002-06-12,West Indies
Australia,Pakistan,Pakistan,2002-06-15,Australia
New Zealand,West Indies,West Indies,2002-06-16,West Indies
Pakistan,Australia,Pakistan,2002-06-19,Australia
England,Sri Lanka,England,2002-06-27,England
England,India,India,2002-06-29,England
Sri Lanka,India,India,2002-06-30,England
Sri Lanka,England,England,2002-07-02,England
Sri Lanka,India,India,2002-07-06,England
Sri Lanka,England,Sri Lanka,2002-07-07,England
England,India,England,2002-07-09,England
India,Sri Lanka,India,2002-07-11,England
England,India,India,2002-07-13,England
Bangladesh,Sri Lanka,Sri Lanka,2002-08-04,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,2002-08-05,Sri Lanka
Sri Lanka,Bangladesh,Sri Lanka,2002-08-07,Sri Lanka
South Africa,Pakistan,South Africa,2002-08-12,Morocco
Pakistan,Sri Lanka,Pakistan,2002-08-14,Morocco
Sri Lanka,South Africa,Sri Lanka,2002-08-15,Morocco
Sri Lanka,Pakistan,Sri Lanka,2002-08-17,Morocco
South Africa,Pakistan,South Africa,2002-08-18,Morocco
South Africa,Sri Lanka,Sri Lanka,2002-08-19,Morocco
Sri Lanka,South Africa,Sri Lanka,2002-08-21,Morocco
Kenya,Pakistan,Pakistan,2002-08-29,Kenya
Australia,Pakistan,Australia,2002-08-30,Kenya
Kenya,Pakistan,Pakistan,2002-09-01,Kenya
Kenya,Australia,Australia,2002-09-02,Kenya
Pakistan,Australia,Australia,2002-09-04,Kenya
Kenya,Australia,Australia,2002-09-05,Kenya
Pakistan,Sri Lanka,Sri Lanka,2002-09-12,Sri Lanka
West Indies,South Africa,South Africa,2002-09-13,Sri Lanka
India,Zimbabwe,India,2002-09-14,Sri Lanka
Australia,New Zealand,Australia,2002-09-15,Sri Lanka
Sri Lanka,Netherlands,Sri Lanka,2002-09-16,Sri Lanka
West Indies,Kenya,West Indies,2002-09-17,Sri Lanka
England,Zimbabwe,England,2002-09-18,Sri Lanka
Bangladesh,Australia,Australia,2002-09-19,Sri Lanka
South Africa,Kenya,South Africa,2002-09-20,Sri Lanka
Netherlands,Pakistan,Pakistan,2002-09-21,Sri Lanka
England,India,India,2002-09-22,Sri Lanka
New Zealand,Bangladesh,New Zealand,2002-09-23,Sri Lanka
India,South Africa,India,2002-09-25,Sri Lanka
Australia,Sri Lanka,Sri Lanka,2002-09-27,Sri Lanka
South Africa,Bangladesh,South Africa,2002-10-03,South Africa
Bangladesh,South Africa,South Africa,2002-10-06,South Africa
Bangladesh,South Africa,South Africa,2002-10-09,South Africa
India,West Indies,West Indies,2002-11-06,India
India,West Indies,West Indies,2002-11-09,India
West Indies,India,India,2002-11-12,India
West Indies,India,India,2002-11-15,India
India,West Indies,West Indies,2002-11-18,India
West Indies,India,India,2002-11-21,India
Pakistan,Zimbabwe,Pakistan,2002-11-23,Zimbabwe
West Indies,India,West Indies,2002-11-24,India
Pakistan,Zimbabwe,Pakistan,2002-11-24,Zimbabwe
Pakistan,Zimbabwe,Pakistan,2002-11-27,Zimbabwe
Sri Lanka,South Africa,South Africa,2002-11-27,South Africa
South Africa,Sri Lanka,South Africa,2002-11-29,South Africa
Zimbabwe,Pakistan,Pakistan,2002-11-30,Zimbabwe
Pakistan,Zimbabwe,Pakistan,2002-12-01,Zimbabwe
South Africa,Sri Lanka,Sri Lanka,2002-12-01,South Africa
West Indies,Bangladesh,West Indies,2002-12-02,Bangladesh
West Indies,Bangladesh,West Indies,2002-12-03,Bangladesh
Sri Lanka,South Africa,South Africa,2002-12-04,South Africa
Sri Lanka,South Africa,South Africa,2002-12-06,South Africa
South Africa,Pakistan,South Africa,2002-12-08,South Africa
Zimbabwe,Kenya,Zimbabwe,2002-12-11,Zimbabwe
Pakistan,South Africa,Pakistan,2002-12-11,South Africa
England,Australia,Australia,2002-12-13,Australia
South Africa,Pakistan,South Africa,2002-12-13,South Africa
Australia,England,Australia,2002-12-15,Australia
Kenya,Zimbabwe,Zimbabwe,2002-12-15,Zimbabwe
Pakistan,South Africa,South Africa,2002-12-16,South Africa
England,Sri Lanka,England,2002-12-17,Australia
South Africa,Pakistan,South Africa,2002-12-18,South Africa
England,Sri Lanka,England,2002-12-20,Australia
Australia,Sri Lanka,Australia,2002-12-22,Australia
India,New Zealand,New Zealand,2002-12-26,New Zealand
New Zealand,India,New Zealand,2002-12-29,New Zealand
India,New Zealand,New Zealand,2003-01-01,New Zealand
India,New Zealand,New Zealand,2003-01-04,New Zealand
New Zealand,India,India,2003-01-08,New Zealand
Sri Lanka,Australia,Sri Lanka,2003-01-09,Australia
Australia,England,Australia,2003-01-11,Australia
New Zealand,India,India,2003-01-11,New Zealand
Sri Lanka,England,Sri Lanka,2003-01-13,Australia
India,New Zealand,New Zealand,2003-01-14,New Zealand
Sri Lanka,Australia,Australia,2003-01-15,Australia
England,Sri Lanka,England,2003-01-17,Australia
England,Australia,Australia,2003-01-19,Australia
Sri Lanka,Australia,Australia,2003-01-21,Australia
England,Australia,Australia,2003-01-23,Australia
Australia,England,Australia,2003-01-25,Australia
West Indies,South Africa,West Indies,2003-02-09,South Africa
Zimbabwe,Namibia,Zimbabwe,2003-02-10,Zimbabwe
Sri Lanka,New Zealand,Sri Lanka,2003-02-10,South Africa
Australia,Pakistan,Australia,2003-02-11,South Africa
Canada,Bangladesh,Canada,2003-02-11,South Africa
Kenya,South Africa,South Africa,2003-02-12,South Africa
India,Netherlands,India,2003-02-12,South Africa
New Zealand,West Indies,New Zealand,2003-02-13,South Africa
Bangladesh,Sri Lanka,Sri Lanka,2003-02-14,South Africa
India,Australia,Australia,2003-02-15,South Africa
Canada,Kenya,Kenya,2003-02-15,South Africa
Netherlands,England,England,2003-02-16,South Africa
Pakistan,Namibia,Pakistan,2003-02-16,South Africa
South Africa,New Zealand,New Zealand,2003-02-16,South Africa
India,Zimbabwe,India,2003-02-19,Zimbabwe
Canada,Sri Lanka,Sri Lanka,2003-02-19,South Africa
England,Namibia,England,2003-02-19,South Africa
Australia,Netherlands,Australia,2003-02-20,South Africa
Bangladesh,South Africa,South Africa,2003-02-22,South Africa
England,Pakistan,England,2003-02-22,South Africa
Canada,West Indies,West Indies,2003-02-23,South Africa
India,Namibia,India,2003-02-23,South Africa
Kenya,Sri Lanka,Kenya,2003-02-24,Kenya
Zimbabwe,Australia,Australia,2003-02-24,Zimbabwe
Pakistan,Netherlands,Pakistan,2003-02-25,South Africa
Bangladesh,New Zealand,New Zealand,2003-02-26,South Africa
India,England,India,2003-02-26,South Africa
Australia,Namibia,Australia,2003-02-27,South Africa
South Africa,Canada,South Africa,2003-02-27,South Africa
Zimbabwe,Netherlands,Zimbabwe,2003-02-28,Zimbabwe
Sri Lanka,West Indies,Sri Lanka,2003-02-28,South Africa
Kenya,Bangladesh,Kenya,2003-03-01,South Africa
Pakistan,India,India,2003-03-01,South Africa
England,Australia,Australia,2003-03-02,South Africa
Canada,New Zealand,New Zealand,2003-03-03,South Africa
Netherlands,Namibia,Netherlands,2003-03-03,South Africa
Sri Lanka,South Africa,Match tied (D/L method),2003-03-03,South Africa
West Indies,Kenya,West Indies,2003-03-04,South Africa
Australia,Sri Lanka,Australia,2003-03-07,South Africa
Kenya,India,India,2003-03-07,South Africa
Zimbabwe,New Zealand,New Zealand,2003-03-08,South Africa
India,Sri Lanka,India,2003-03-10,South Africa
Australia,New Zealand,Australia,2003-03-11,South Africa
Zimbabwe,Kenya,Kenya,2003-03-12,South Africa
New Zealand,India,India,2003-03-14,South Africa
Sri Lanka,Zimbabwe,Sri Lanka,2003-03-15,South Africa
Kenya,Australia,Australia,2003-03-15,South Africa
Australia,Sri Lanka,Australia,2003-03-18,South Africa
India,Kenya,India,2003-03-20,South Africa
Australia,India,Australia,2003-03-23,South Africa
Pakistan,Zimbabwe,Pakistan,2003-04-03,United Arab Emirates
Sri Lanka,Pakistan,Pakistan,2003-04-04,United Arab Emirates
Kenya,Zimbabwe,Zimbabwe,2003-04-05,United Arab Emirates
Sri Lanka,Kenya,Sri Lanka,2003-04-06,United Arab Emirates
Sri Lanka,Zimbabwe,Zimbabwe,2003-04-07,United Arab Emirates
Pakistan,Kenya,Pakistan,2003-04-08,United Arab Emirates
Zimbabwe,Pakistan,Pakistan,2003-04-10,United Arab Emirates
India,Bangladesh,India,2003-04-11,Bangladesh
India,South Africa,India,2003-04-13,Bangladesh
South Africa,Bangladesh,South Africa,2003-04-14,Bangladesh
Bangladesh,India,India,2003-04-16,Bangladesh
South Africa,Bangladesh,South Africa,2003-04-17,Bangladesh
India,South Africa,South Africa,2003-04-18,Bangladesh
Pakistan,Sri Lanka,Pakistan,2003-05-10,Sri Lanka
Pakistan,New Zealand,New Zealand,2003-05-11,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,2003-05-13,Sri Lanka
Australia,West Indies,Australia,2003-05-17,West Indies
Sri Lanka,Pakistan,Sri Lanka,2003-05-18,Sri Lanka
West Indies,Australia,Australia,2003-05-18,West Indies
New Zealand,Sri Lanka,New Zealand,2003-05-19,Sri Lanka
Pakistan,New Zealand,Pakistan,2003-05-20,Sri Lanka
Australia,West Indies,Australia,2003-05-21,West Indies
Pakistan,New Zealand,New Zealand,2003-05-23,Sri Lanka
Australia,West Indies,Australia,2003-05-24,West Indies
West Indies,Australia,West Indies,2003-05-25,West Indies
Australia,West Indies,West Indies,2003-05-30,Grenada
Australia,West Indies,West Indies,2003-06-01,Grenada
Sri Lanka,West Indies,Sri Lanka,2003-06-07,West Indies
West Indies,Sri Lanka,Sri Lanka,2003-06-08,West Indies
Sri Lanka,West Indies,West Indies,2003-06-11,West Indies
England,Pakistan,Pakistan,2003-06-17,England
Pakistan,England,England,2003-06-20,England
Pakistan,England,England,2003-06-22,England
England,Zimbabwe,Zimbabwe,2003-06-26,England
South Africa,England,England,2003-06-28,England
South Africa,Zimbabwe,South Africa,2003-06-29,England
England,South Africa,South Africa,2003-07-03,England
Zimbabwe,South Africa,South Africa,2003-07-05,Wales
Zimbabwe,England,England,2003-07-06,England
South Africa,England,England,2003-07-08,England
Zimbabwe,South Africa,South Africa,2003-07-10,England
South Africa,England,England,2003-07-12,England
Bangladesh,Australia,Australia,2003-08-02,Australia
Bangladesh,Australia,Australia,2003-08-03,Australia
Australia,Bangladesh,Australia,2003-08-06,Australia
Pakistan,Bangladesh,Pakistan,2003-09-09,Pakistan
Pakistan,Bangladesh,Pakistan,2003-09-12,Pakistan
Pakistan,Bangladesh,Pakistan,2003-09-15,Pakistan
Bangladesh,Pakistan,Pakistan,2003-09-18,Pakistan
Pakistan,Bangladesh,Pakistan,2003-09-21,Pakistan
Pakistan,South Africa,Pakistan,2003-10-03,Pakistan
Pakistan,South Africa,Pakistan,2003-10-05,Pakistan
Pakistan,South Africa,South Africa,2003-10-07,Pakistan
Pakistan,South Africa,South Africa,2003-10-10,Pakistan
Pakistan,South Africa,South Africa,2003-10-12,Pakistan
India,Australia,India,2003-10-26,India
New Zealand,Australia,Australia,2003-10-29,India
Australia,India,Australia,2003-11-01,India
New Zealand,Australia,Australia,2003-11-03,India
India,New Zealand,New Zealand,2003-11-06,India
Bangladesh,England,England,2003-11-07,Bangladesh
Australia,New Zealand,Australia,2003-11-09,India
Bangladesh,England,England,2003-11-10,Bangladesh
Bangladesh,England,England,2003-11-12,Bangladesh
Australia,India,Australia,2003-11-12,India
India,New Zealand,India,2003-11-15,India
England,Sri Lanka,Sri Lanka,2003-11-18,Sri Lanka
Australia,India,Australia,2003-11-18,India
West Indies,Zimbabwe,West Indies,2003-11-22,Zimbabwe
West Indies,Zimbabwe,Zimbabwe,2003-11-23,Zimbabwe
Zimbabwe,West Indies,Zimbabwe,2003-11-26,Zimbabwe
West Indies,Zimbabwe,West Indies,2003-11-29,Zimbabwe
New Zealand,Pakistan,Pakistan,2003-11-29,Pakistan
