team1,team2,winner,match_date,ground
Pakistan,New Zealand,New Zealand,1996-12-08,Pakistan
India,South Africa,India,1996-12-14,India
Pakistan,Australia,Pakistan,1996-12-15,Australia
England,Zimbabwe,Zimbabwe,1996-12-15,Zimbabwe
Pakistan,West Indies,West Indies,1996-12-17,Australia
Australia,Pakistan,Pakistan,1997-01-01,Australia
Zimbabwe,England,Zimbabwe,1997-01-01,Zimbabwe
Pakistan,West Indies,West Indies,1997-01-03,Australia
Zimbabwe,England,Zimbabwe,1997-01-03,Zimbabwe
Australia,West Indies,West Indies,1997-01-05,Australia
Pakistan,Australia,Pakistan,1997-01-07,Australia
Pakistan,West Indies,West Indies,1997-01-10,Australia
Australia,West Indies,West Indies,1997-01-12,Australia
West Indies,Pakistan,Pakistan,1997-01-14,Australia
Pakistan,Australia,Australia,1997-01-16,Australia
South Africa,India,South Africa,1997-01-23,South Africa
Zimbabwe,South Africa,South Africa,1997-01-25,South Africa
Zimbabwe,India,Match tied,1997-01-27,South Africa
Zimbabwe,South Africa,South Africa,1997-01-29,South Africa
Zimbabwe,South Africa,South Africa,1997-01-31,South Africa
India,South Africa,South Africa,1997-02-02,South Africa
India,South Africa,South Africa,1997-02-04,South Africa
India,Zimbabwe,Zimbabwe,1997-02-07,South Africa
Zimbabwe,India,India,1997-02-09,South Africa
South Africa,India,South Africa,1997-02-13,South Africa
India,Zimbabwe,Zimbabwe,1997-02-15,Zimbabwe
New Zealand,England,England,1997-02-20,New Zealand
New Zealand,England,England,1997-02-23,New Zealand
New Zealand,England,Match tied,1997-02-26,New Zealand
New Zealand,England,New Zealand,1997-03-02,New Zealand
New Zealand,England,New Zealand,1997-03-04,New Zealand
New Zealand,Sri Lanka,Sri Lanka,1997-03-25,New Zealand
New Zealand,Sri Lanka,New Zealand,1997-03-27,New Zealand
Australia,South Africa,South Africa,1997-03-29,South Africa
South Africa,Australia,Australia,1997-03-31,South Africa
South Africa,Australia,South Africa,1997-04-02,South Africa
Zimbabwe,Sri Lanka,Sri Lanka,1997-04-03,United Arab Emirates
Sri Lanka,Pakistan,Sri Lanka,1997-04-04,United Arab Emirates
Australia,South Africa,Australia,1997-04-05,South Africa
Pakistan,Zimbabwe,Pakistan,1997-04-06,United Arab Emirates
Sri Lanka,Pakistan,Sri Lanka,1997-04-07,United Arab Emirates
Zimbabwe,Sri Lanka,Zimbabwe,1997-04-08,United Arab Emirates
Australia,South Africa,Australia,1997-04-08,South Africa
Pakistan,Zimbabwe,Pakistan,1997-04-09,United Arab Emirates
South Africa,Australia,Australia,1997-04-10,South Africa
Pakistan,Sri Lanka,Sri Lanka,1997-04-11,United Arab Emirates
South Africa,Australia,South Africa,1997-04-13,South Africa
India,West Indies,West Indies,1997-04-26,West Indies
West Indies,India,India,1997-04-27,West Indies
West Indies,India,West Indies,1997-04-30,West Indies
India,West Indies,West Indies,1997-05-03,West Indies
New Zealand,Pakistan,New Zealand,1997-05-09,India
Pakistan,Sri Lanka,Pakistan,1997-05-12,India
New Zealand,India,India,1997-05-14,India
India,Sri Lanka,Sri Lanka,1997-05-17,India
Sri Lanka,New Zealand,Sri Lanka,1997-05-20,India
Pakistan,India,Pakistan,1997-05-21,India
Australia,England,England,1997-05-22,England
Sri Lanka,Pakistan,Sri Lanka,1997-05-24,India
Australia,England,England,1997-05-24,England
Australia,England,England,1997-05-25,England
Sri Lanka,Pakistan,Sri Lanka,1997-05-27,India
West Indies,Sri Lanka,West Indies,1997-06-06,West Indies
Sri Lanka,Pakistan,Sri Lanka,1997-07-14,Sri Lanka
Pakistan,Bangladesh,Pakistan,1997-07-16,Sri Lanka
India,Sri Lanka,Sri Lanka,1997-07-18,Sri Lanka
Sri Lanka,Bangladesh,Sri Lanka,1997-07-22,Sri Lanka
Bangladesh,India,India,1997-07-24,Sri Lanka
India,Sri Lanka,Sri Lanka,1997-07-26,Sri Lanka
Sri Lanka,India,Sri Lanka,1997-08-17,Sri Lanka
India,Sri Lanka,Sri Lanka,1997-08-20,Sri Lanka
Sri Lanka,India,Sri Lanka,1997-08-24,Sri Lanka
India,Pakistan,India,1997-09-13,Canada
Pakistan,India,India,1997-09-14,Canada
India,Pakistan,India,1997-09-18,Canada
Pakistan,India,India,1997-09-20,Canada
India,Pakistan,Pakistan,1997-09-21,Canada
India,Pakistan,Pakistan,1997-09-28,Pakistan
Pakistan,India,India,1997-09-30,Pakistan
Zimbabwe,New Zealand,Match tied,1997-10-01,Zimbabwe
India,Pakistan,Pakistan,1997-10-02,Pakistan
New Zealand,Zimbabwe,Zimbabwe,1997-10-04,Zimbabwe
New Zealand,Zimbabwe,New Zealand,1997-10-05,Zimbabwe
Kenya,Bangladesh,Kenya,1997-10-10,Kenya
Zimbabwe,Bangladesh,Zimbabwe,1997-10-11,Kenya
Kenya,Zimbabwe,Zimbabwe,1997-10-12,Kenya
Zimbabwe,Bangladesh,Zimbabwe,1997-10-14,Kenya
Bangladesh,Kenya,Kenya,1997-10-15,Kenya
Kenya,Zimbabwe,Zimbabwe,1997-10-16,Kenya
Zimbabwe,Kenya,Zimbabwe,1997-10-18,Kenya
Zimbabwe,Kenya,Zimbabwe,1997-10-19,Kenya
West Indies,Sri Lanka,Sri Lanka,1997-11-01,Pakistan
South Africa,Pakistan,South Africa,1997-11-02,Pakistan
West Indies,South Africa,South Africa,1997-11-03,Pakistan
West Indies,Pakistan,Pakistan,1997-11-04,Pakistan
Pakistan,Sri Lanka,Sri Lanka,1997-11-05,Pakistan
South Africa,Sri Lanka,South Africa,1997-11-06,Pakistan
Sri Lanka,South Africa,South Africa,1997-11-08,Pakistan
South Africa,Australia,South Africa,1997-12-04,Australia
New Zealand,South Africa,New Zealand,1997-12-06,Australia
New Zealand,Australia,Australia,1997-12-07,Australia
South Africa,Australia,South Africa,1997-12-09,Australia
South Africa,New Zealand,South Africa,1997-12-11,Australia
England,India,England,1997-12-11,United Arab Emirates
West Indies,Pakistan,West Indies,1997-12-12,United Arab Emirates
West Indies,England,England,1997-12-13,United Arab Emirates
India,Pakistan,Pakistan,1997-12-14,United Arab Emirates
England,Pakistan,England,1997-12-15,United Arab Emirates
West Indies,India,West Indies,1997-12-16,United Arab Emirates
New Zealand,Australia,Australia,1997-12-17,Australia
West Indies,England,England,1997-12-19,United Arab Emirates
Sri Lanka,India,India,1997-12-22,India
India,Sri Lanka,Sri Lanka,1997-12-28,India
South Africa,New Zealand,South Africa,1998-01-09,Australia
Bangladesh,India,India,1998-01-10,Bangladesh
India,Pakistan,India,1998-01-11,Bangladesh
Australia,South Africa,South Africa,1998-01-11,Australia
Bangladesh,Pakistan,Pakistan,1998-01-12,Bangladesh
Pakistan,India,India,1998-01-14,Bangladesh
Australia,New Zealand,Australia,1998-01-14,Australia
India,Pakistan,Pakistan,1998-01-16,Bangladesh
South Africa,New Zealand,South Africa,1998-01-16,Australia
Pakistan,India,India,1998-01-18,Bangladesh
Australia,South Africa,South Africa,1998-01-18,Australia
Australia,New Zealand,New Zealand,1998-01-21,Australia
Zimbabwe,Sri Lanka,Sri Lanka,1998-01-22,Sri Lanka
South Africa,Australia,South Africa,1998-01-23,Australia
Zimbabwe,Sri Lanka,Sri Lanka,1998-01-24,Sri Lanka
South Africa,Australia,Australia,1998-01-26,Australia
Zimbabwe,Sri Lanka,Sri Lanka,1998-01-26,Sri Lanka
Australia,South Africa,Australia,1998-01-27,Australia
New Zealand,Zimbabwe,New Zealand,1998-02-04,New Zealand
Zimbabwe,New Zealand,New Zealand,1998-02-06,New Zealand
New Zealand,Australia,Australia,1998-02-08,New Zealand
Australia,New Zealand,Australia,1998-02-10,New Zealand
Australia,New Zealand,New Zealand,1998-02-12,New Zealand
New Zealand,Australia,New Zealand,1998-02-14,New Zealand
Zimbabwe,New Zealand,Zimbabwe,1998-03-04,New Zealand
Zimbabwe,New Zealand,New Zealand,1998-03-06,New Zealand
New Zealand,Zimbabwe,New Zealand,1998-03-08,New Zealand
Zimbabwe,Pakistan,Pakistan,1998-03-28,Zimbabwe
Zimbabwe,Pakistan,Pakistan,1998-03-29,Zimbabwe
England,West Indies,England,1998-03-29,West Indies
India,Australia,India,1998-04-01,India
England,West Indies,West Indies,1998-04-01,West Indies
Australia,Zimbabwe,Australia,1998-04-03,India
South Africa,Pakistan,South Africa,1998-04-03,South Africa
England,West Indies,West Indies,1998-04-04,West Indies
India,Zimbabwe,India,1998-04-05,India
South Africa,Sri Lanka,South Africa,1998-04-05,South Africa
England,West Indies,West Indies,1998-04-05,West Indies
Australia,India,India,1998-04-07,India
Sri Lanka,Pakistan,Pakistan,1998-04-07,South Africa
West Indies,England,West Indies,1998-04-08,West Indies
India,Zimbabwe,India,1998-04-09,India
Pakistan,Sri Lanka,Pakistan,1998-04-09,South Africa
Australia,Zimbabwe,Australia,1998-04-11,India
Pakistan,South Africa,South Africa,1998-04-11,South Africa
South Africa,Sri Lanka,Sri Lanka,1998-04-13,South Africa
India,Australia,Australia,1998-04-14,India
Sri Lanka,Pakistan,Sri Lanka,1998-04-15,South Africa
Pakistan,South Africa,South Africa,1998-04-17,South Africa
India,New Zealand,India,1998-04-17,United Arab Emirates
New Zealand,Australia,Australia,1998-04-18,United Arab Emirates
Sri Lanka,South Africa,South Africa,1998-04-19,South Africa
Australia,India,Australia,1998-04-19,United Arab Emirates
India,New Zealand,New Zealand,1998-04-20,United Arab Emirates
New Zealand,Australia,Australia,1998-04-21,United Arab Emirates
Australia,India,Australia,1998-04-22,United Arab Emirates
Pakistan,South Africa,South Africa,1998-04-23,South Africa
Australia,India,India,1998-04-24,United Arab Emirates
Bangladesh,India,India,1998-05-14,India
Kenya,Bangladesh,Bangladesh,1998-05-17,India
Kenya,India,India,1998-05-20,India
England,South Africa,South Africa,1998-05-21,England
Kenya,Bangladesh,Kenya,1998-05-23,India
South Africa,England,South Africa,1998-05-23,England
South Africa,England,England,1998-05-24,England
Bangladesh,India,India,1998-05-25,India
Kenya,India,Kenya,1998-05-28,India
Kenya,India,India,1998-05-31,India
Sri Lanka,India,India,1998-06-19,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,1998-06-21,Sri Lanka
Sri Lanka,India,Sri Lanka,1998-07-01,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,1998-07-05,Sri Lanka
India,Sri Lanka,India,1998-07-07,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,1998-08-14,England
England,Sri Lanka,England,1998-08-16,England
South Africa,England,South Africa,1998-08-18,England
England,Sri Lanka,Sri Lanka,1998-08-20,England
Pakistan,India,India,1998-09-12,Canada
Pakistan,India,Pakistan,1998-09-13,Canada
Pakistan,India,Pakistan,1998-09-16,Canada
Pakistan,India,Pakistan,1998-09-19,Canada
India,Pakistan,Pakistan,1998-09-20,Canada
Zimbabwe,India,India,1998-09-26,Zimbabwe
Zimbabwe,India,India,1998-09-27,Zimbabwe
Zimbabwe,India,Zimbabwe,1998-09-30,Zimbabwe
Zimbabwe,New Zealand,New Zealand,1998-10-24,Bangladesh
England,South Africa,South Africa,1998-10-25,Bangladesh
New Zealand,Sri Lanka,Sri Lanka,1998-10-26,Bangladesh
India,Australia,India,1998-10-28,Bangladesh
West Indies,Pakistan,West Indies,1998-10-29,Bangladesh
South Africa,Sri Lanka,South Africa,1998-10-30,Bangladesh
India,West Indies,West Indies,1998-10-31,Bangladesh
West Indies,South Africa,South Africa,1998-11-01,Bangladesh
Australia,Pakistan,Australia,1998-11-06,Pakistan
Sri Lanka,India,India,1998-11-06,United Arab Emirates
Sri Lanka,Zimbabwe,Zimbabwe,1998-11-07,United Arab Emirates
Pakistan,Australia,Australia,1998-11-08,Pakistan
Zimbabwe,India,India,1998-11-08,United Arab Emirates
India,Sri Lanka,India,1998-11-09,United Arab Emirates
Pakistan,Australia,Australia,1998-11-10,Pakistan
Zimbabwe,Sri Lanka,Zimbabwe,1998-11-10,United Arab Emirates
Zimbabwe,India,Zimbabwe,1998-11-11,United Arab Emirates
Zimbabwe,India,India,1998-11-13,United Arab Emirates
Zimbabwe,Pakistan,Pakistan,1998-11-20,Pakistan
Pakistan,Zimbabwe,Zimbabwe,1998-11-22,Pakistan
Pakistan,Zimbabwe,Pakistan,1998-11-24,Pakistan
India,New Zealand,New Zealand,1999-01-09,New Zealand
England,Australia,England,1999-01-10,Australia
Sri Lanka,England,England,1999-01-11,Australia
New Zealand,India,India,1999-01-12,New Zealand
Sri Lanka,Australia,Australia,1999-01-13,Australia
England,Australia,Australia,1999-01-15,Australia
New Zealand,India,India,1999-01-16,New Zealand
England,Australia,England,1999-01-17,Australia
New Zealand,India,New Zealand,1999-01-19,New Zealand
Sri Lanka,England,England,1999-01-19,Australia
Australia,Sri Lanka,Sri Lanka,1999-01-21,Australia
West Indies,South Africa,South Africa,1999-01-22,South Africa
England,Sri Lanka,Sri Lanka,1999-01-23,Australia
Australia,Sri Lanka,Australia,1999-01-24,Australia
West Indies,South Africa,West Indies,1999-01-24,South Africa
Australia,England,Australia,1999-01-26,Australia
South Africa,West Indies,South Africa,1999-01-27,South Africa
England,Sri Lanka,England,1999-01-29,Australia
South Africa,West Indies,South Africa,1999-01-30,South Africa
Australia,Sri Lanka,Australia,1999-01-31,Australia
South Africa,West Indies,South Africa,1999-02-02,South Africa
Sri Lanka,England,Sri Lanka,1999-02-03,Australia
England,Australia,Australia,1999-02-05,Australia
South Africa,West Indies,South Africa,1999-02-05,South Africa
Australia,Sri Lanka,Australia,1999-02-07,Australia
South Africa,West Indies,South Africa,1999-02-07,South Africa
Australia,England,Australia,1999-02-10,Australia
Australia,England,Australia,1999-02-13,Australia
South Africa,New Zealand,New Zealand,1999-02-14,New Zealand
New Zealand,South Africa,South Africa,1999-02-17,New Zealand
South Africa,New Zealand,New Zealand,1999-02-20,New Zealand
